Dataset,Paper Title,Year,Publisher,Description,Indoor/Outdoor,Tasks,No. Papers,No. Benchmarks,Last Check
ScribbleKITTI,Scribble-Supervised LiDAR Semantic Segmentation,2022,CVPR,scribble-annotated dataset for LiDAR semantic segmentation,outdoor,(Semi-Supervised / Weakly-Supervised / 3D / LiDAR) Semantic Segmentation; Weakly Supervised 3D Point Cloud Segmentation,18,2,2025-02-27
Semantic3D,Semantic3D.net: A new Large-scale Point Cloud Classification Benchmark,2017,ISPRS,point cloud dataset of scanned outdoor scenes ,outdoor,Semantic Segmentation,65,1,2025-02-27
SemanticKITTI,SemanticKITTI: A Dataset for Semantic Scene Understanding of LiDAR Sequences,2019,ICCV,large-scale outdoor-scene dataset for point cloud semantic segmentation; derived from the KITTI Vision Odometry Benchmark which it extends with dense point-wise annotations for the complete 360 field-of-view of the employed automotive LiDAR,outdoor,(3D) Semantic Segmentation; Panoptic Segmentation; 3D Semantic Scene Completion…,620,10,2025-02-27
SemanticKITTI-C,Robo3D: Towards Robust and Reliable 3D Perception against Corruptions,2023,ICCV,Semantic-KITTI + simulated physically-principled corruptions on the val set; corruptions: 1) Severe weather conditions: fog; rain; snow -> back-scattering; attenuation; reflections; 2) External disturbances: bumpy surfaces; dust; insects... -> motion blur; LiDAR beam missing issues; 3) Internal sensor failure: incomplete echo; miss detection of instances with a dark color (e.g.; black car); crosstalk among multiple sensors -> deteriorates the 3D perception accuracy,outdoor,(Robust) 3D Semantic Segementation,24,1,2025-02-27
SemanticPOSS,SemanticPOSS: A Point Cloud Dataset with Large Quantity of Dynamic Instances,2020,IV,dataset for 3D semantic segmentation,outdoor,(3D) Semantic Segmentation; Autonomous Driving; Weakly supervised Semantic Segmentation,69,2,2025-02-27
SemanticSpray,Energy-Based Detection of Adverse Weather Effects in LiDAR Data,2023,RA-L,This dataset provides semantic labels for a subset of the Road Spray dataset; which contains scenes of vehicles traveling at different speeds on wet surfaces; creating a trailing spray effect,outdoor,Semantic Segmentation,2,0,2025-02-27
SemanticSTF,3D Semantic Segmentation in the Wild: Learning Generalized Models for Adverse-Condition Point Clouds,2023,CVPR,adverse-weather point cloud dataset that provides dense point-level annotations and allows to study 3DSS under various adverse weather conditions; extends the STF Detection Benchmark by providing point-wise annotations of 21 semantic categories,outdoor,(3D) Semantic Segmentation; LiDAR Semantic Segmentation,9,1,2025-02-27
SensatUrban,Towards Semantic Segmentation of Urban-Scale 3D Point Clouds: A Dataset; Benchmarks and Challenges,2021,CVPR,urban-scale photogrammetric point cloud dataset,outdoor,Semantic Segmentation; Scene Understanding; 3D Semantic Segmentation,28,1,2025-02-27
ShapeNet,ShapeNet: An Information-Rich 3D Model Repository,2015,arXiv,large scale repository for 3D CAD models developed by researchers from Stanford University,other,Semantic Segmentation; 3D Reconstruction; Novel View Synthesis; Single-View 3D Reconstruction; Point Cloud Generation; 3D Object Reconstruction; Point Cloud Completion; 3D Part Segmentation,1880,13,2025-02-27
ShapeNet-ViPC,View-Guided Point Cloud Completion,2021,CVPR,A large-scale dataset for the point cloud completion task on the ShapeNet dataset,other,Point Cloud Completion,8,1,2025-02-27
ShapeNetCore,ShapeNet: An Information-Rich 3D Model Repository,2015,arXiv,subset of the full ShapeNet dataset with single clean 3D models and manually verified category and alignment annotations,other,3D Reconstruction; Single-View 3D Reconstruction; 3D Classification,174,1,2025-02-27
ShapeTalk,ShapeTalk: A Language Dataset and Framework for 3D Shape Edits and Deformations,2023,CVPR, discriminative utterances produced by contrasting the shapes of common 3D objects for a variety of object classes and degrees of similarity,other,Retrieval,4,0,2025-02-27
SHREC'19 ,FARM: Functional Automatic Registration Method for 3D Human Bodies,2019,CGF,benchmark to evaluate the performance of point-to-point matching pipelines when the shapes to be matched have different connectivity,other,3D Dense Shape Correspondence,20,1,2025-02-27
SHREC'20 ,SHREC’20: Shape correspondence with non-isometric deformations,2020,3DOR,dataset of highly non-isometric non-rigid quadruped shapes with consensus-based ground-truth correspondences; they identified a set of synthetic models and real-world scans of 3D shapes and produced a set of ground truth correspondences,other,matching pairs of full-to-full and partial-to-full models,1,0,2025-02-27
SLAM2REF,BIM-SLAM: Integrating BIM Models in Multi-session SLAM for Lifelong Mapping using 3D LiDAR,2023,ISARC,This dataset comprehends the 3D building information model (in IFC and Revit formats); manually elaborated based on the terrestrial laser scanner of the sequence 2 of ConSLAM; and the refined ground truth (GT) poses (in TUM format) of sessions 2; 3; 4; and 5 of the open-access ConSLAM dataset (which provides camera; LiDAR; and IMU measurements),indoor,(2D / 3D / 6D) Pose Estimation; Visual Odometry; Camera Localization; Camera Relocalization; Pose Retrieval; Object SLAM; Semantic Slam…,2,0,2025-02-27
SNARE,Language Grounding with 3D Objects,2021,PMLR,ShapeNet Annotated with Referring Expressions,indoor,ground language to 3D object models,7,0,2025-02-27
SPACE,SPACE: A SIMULATOR FOR PHYSICAL INTERACTIONS AND CAUSAL LEARNING IN 3D,2021,ICCV,simulator for physical Interactions and causal learning in 3D environments; SPACE dataset; a synthetic video dataset in a 3D environment,other,Semantic Object Interaction Classification,6,1,2025-02-27
Spatial Commonsense Graph Dataset,Spatial Commonsense Graph for Object Localisation in Partial Scenes,2022,CVPR,Dataset built from partial reconstructions of real-world indoor scenes using RGB-D sequences from ScanNet; aimed at estimating the unknown position of an object (e.g. where is the bag?) given a partial 3D scan of a scene; based on ScanNet sequences,indoor,Object Localization,1,0,2025-02-27
SQUA3D ,SQA3D: SITUATED QUESTION ANSWERING IN 3D SCENES,2023,ICLR,dataset for embodied scene understanding; where an agent needs to comprehend the scene it situates from an first person's perspective and answer questions,indoor,Question Answering; Referring Expression,39,2,2025-02-27
SSCBench,SSCBench: A Large-Scale 3D Semantic Scene Completion Benchmark for Autonomous Driving,2023,arXiv,large-scale SSC benchmark in street views that facilitates the training of robust and generalizable SSC models,outdoor,3D Semantic Scene Completion (from a single RGB image),9,0,2025-02-27
Stanford 3D Scanning Repository,n/A,,n/A,In recent years; the number of range scanners and surface reconstruction algorithms has been growing rapidly. Many researchers; however; do not have access to scanning facilities or dense polygonal models. The purpose of this repository is to make some range data and detailed reconstructions available to the public.,other,Surface reconstruction,3,0,2025-02-27
STPLS3D,STPLS3D: A Large-Scale Synthetic and Real Aerial Photogrammetry 3D Point Cloud Dataset,2022,BMVC,large-scale aerial photogrammetry dataset with synthetic and real annotated 3D point clouds for semantic and instance segmentation tasks,outdoor,(3D) Semantic Segmentation; (3D) Instance Segmentation; 3D Open-Vocabulary Instance-Segmentation,36,3,2025-02-27
Structured3D,Structured3D: A Large Photo-realistic Dataset for Structured 3D Modeling,2020,ECCV,synthetic dataset with the aim of providing largescale photo-realistic images with rich 3D structure annotations for a wide spectrum of structured 3D modeling tasks,indoor,Semantic Segmentation; Image Generation; Metric Learning; Visual Localization; Room Layout Estomatimation; Indoor Localization,75,1,2025-02-27
SUM,SUM: A Benchmark Dataset of Semantic Urban Meshes,2021,ISPRS,benchmark dataset of semantic urban meshes which covers about 4 km2 in Helsinki (Finland),outdoor,Semantic segmentation ,9,0,2025-02-27
SUNCG,Semantic Scene Completion from a Single Depth Image,2017,CVPR,large-scale dataset of synthetic 3D scenes with dense volumetric annotations,indoor,Semantic Segmentation; Depth Estimation; Visual Navigation,184,0,2025-02-27
SUN3D ,SUN3D: A Database of Big Spaces Reconstructed Using SfM and Object Labels,2014,ICCV,large-scale RGB-D video database,indoor,Semantic Segmentation; Pose Estimation; Depth Estimation,123,0,2025-02-27
SUN RGB-D,SUN RGB-D: A RGB-D Scene Understanding Benchmark Suite,2015,CVPR,The SUN RGBD dataset contains 10335 real RGB-D images of room scenes,indoor,(3D) Object Detection; Semantic Segmentation; Panoptic Segmentation; Depth Estimation; Scene Segmentation; Scene Recognition; Scene Classification…,461,14,2025-02-27
Swiss3DCities,Semantic Segmentation on Swiss3DCities: A Benchmark Study on Aerial Photogrammetric 3D Pointcloud Dataset,2021,Pattern Recognit. Lett.,outdoor urban 3D pointcloud dataset,outdoor,(3D) Semantic Segmentation; Autonomous Driving,4,0,2025-02-27
Sydney Urban Objects,Unsupervised Feature Learning for Classification of Outdoor 3D Scans,2013,ACFR,dataset contains a variety of common urban road objects scanned with a Velodyne HDL-64E LIDAR; collected in the CBD of Sydney; Australia,outdoor,3D Point Cloud Classification,4,1,2025-02-27
SynLiDAR,Transfer Learning from Synthetic to Real LiDAR Point Cloud for Semantic Segmentation,2022,AAAI,large-scale synthetic LiDAR sequential point cloud dataset with point-wise annotations,outdoor,Unsupervised Domain Adaption; 3D Semantic Segmentation; 3D Unsupervised Domain Adaption,17,2,2025-02-27
T-LESS ,T-LESS: An RGB-D Dataset for 6D Pose Estimation of Texture-less Objects,2017,WACV,dataset for estimating the 6D pose; i.e. translation and rotation; of texture-less rigid objects,other,6D Pose Estimation using RGB / RGBD,87,2,2025-02-27
TEACh,TEACh: Task-driven Embodied Agents that Chat,2022,AAAI,dataset of human-human interactive dialogues to complete tasks in a simulated household environment,indoor,Vision-Language Navigation,33,0,2025-02-27
Text-to-3D House Model,Intelligent Home 3D: Automatic 3D-House Design from Linguistic Descriptions Only,2020,CVPR,They formulate home design as a language conditioned visual content generation problem that is further divided into a floor plan generation and an interior texture (such as floor and wall) synthesis task,indoor,Home Design,3,0,2025-02-27
Text2Shape,Text2Shape: Generating Shapes from Natural Language by Learning Joint Embeddings,2018,arXiv,large dataset of natural language descriptions for physical 3D objects in the ShapeNet dataset; method for generating colored 3D shapes from natural language,other,generating colored 3D shapes from natural language,1,0,2025-02-27
Thermoscenes,ThermoNeRF: Joint RGB and Thermal Novel View Synthesis for Building Facades using Multimodal Neural Radiance Fields,2024,arXiv,Dataset of paired thermal and RGB images comprising ten diverse scenes—six indoor and four outdoor scenes— for 3D scene reconstruction and novel view synthesis (e.g. with NeRF),mixed,3D Reconstruction; Novel View Synthesis; Infrared and Visible Image Fusion; Neural Rendering,1,0,2025-02-27
Tinto,Tinto: Multisensor Benchmark for 3D Hyperspectral Point Cloud Segmentation in the Geosciences,2023,TGRS,multi-sensor benchmark digital outcrop dataset designed to facilitate the development and validation of deep learning approaches for geological mapping; especially for non-structured 3D data like point clouds,outdoor,Classification; Semantic Segmentation,1,0,2025-02-27
Tongji-3D,A synthetic dataset for Visual SLAM evaluation,2020,Robot. Auton. Syst.,synthetic dataset for VSLAM evaluation,outdoor,VSLAM evaluation,n/A,n/A,2025-02-27
Toronto3D,Toronto-3D: A Large-scale Mobile LiDAR Dataset for Semantic Segmentation of Urban Roadways,2020,CVPR,large-scale urban outdoor point cloud dataset acquired by an MLS system in Toronto; Canada; for semantic segmentation,outdoor,Semantic Segmentation; Scene Understanding; Autonomous Driving,24,2,2025-02-27
TOSCA,Numerical geometry of non-rigid shapes,2008,Springer,Hi-resolution three-dimensional nonrigid shapes in a variety of poses for non-rigid shape similarity and correspondence experiments,other,3D Dense Shape Correspondence,4,0,2025-02-27
TruckScenes,MAN TruckScenes: A multimodal dataset for autonomous trucking in diverse conditions,2024,NeurIPS,multimodal dataset for autonomous trucking,outdoor,3D Object Detection; 3D Object Tracking,3,1,2025-02-27
ULS labeled data,Semantic segmentation of sparse irregular point clouds for leaf/wood discrimination,2023,Zenodo,UAV Laser Scanning data collected over neotropical forest (Paracou French Guiana); Semantic segmentation of sparse irregular point clouds for leaf/wood discrimination,outdoor,LIDAR Semantic Segmentation,1,1,2025-02-27
UrbanLoco,UrbanLoco: A Full Sensor Suite Dataset for Mapping and Localization in Urban Scenes,2020,ICRA,mapping/localization dataset collected in highly-urbanized environments with a full sensor-suite,outdoor,Point Cloud Registration; Autonomous Driving,14,0,2025-02-27
UrbanScene3D,Capturing; Reconstructing; and Simulating: the UrbanScene3D Dataset,2022,ECCV,large scale urban scene dataset associated with a handy simulator based on Unreal Engine 4 and AirSim; which consists of both man-made and real-world reconstruction scenes in different scales,outdoor,Simultaneous Localization and Mapping; Depth Estimation; Autonomous Navigation; Novel View Synthesis,20,0,2025-02-27
V2V4Real,V2V4Real: A Real-world Large-scale Dataset for Vehicle-to-Vehicle Cooperative Perception,2023,CVPR,large-scale real-world multi-modal dataset for V2V (Vehicle-to-Vehicle) perception,outdoor,Domain Adaption; 3D Object Detection,25,0,2025-02-27
VBR,VBR: A Vision Benchmark in Rome,2024,ICRA,This dataset presents a vision and perception research dataset collected in Rome; featuring RGB data; 3D point clouds; IMU; and GPS data + benchmark targeting visual odometry and SLAM; to advance the research in autonomous robotics and computer vision,mixed,(3D) Pose Estimation; Visual Place Recognition; Point Cloud Registration; 3D Reconstruction; Visual Tracking; Monocular Depth Estimation; Novel View Synthesis; Visual Odometry…,3,0,2025-02-27
VideoNavQA,VideoNavQA: Bridging the Gap between Visual and Embodied Question Answering,2019,BMVC,dataset contains pairs of questions and videos generated in the House3D environment,indoor,Question Answering; Visual Question Answering (VQA); Scene Understanding,4,0,2025-02-27
VIPER (VIsual PERception),Playing for Benchmarks,2017,ICCV,benchmark suite for visual perception;  benchmark is based on more than 250K high-resolution video frames; all annotated with ground-truth data for both low-level and high-level vision tasks; including optical flow; semantic instance segmentation; object detection and tracking; object-level 3D scene layout; and visual odometry,outdoor,optical flow; semantic instance segmentation; object detection and tracking; object-level 3D scene layout; visual odometry,6,0,2025-02-27
VIRDO,VIRDO: Visio-tactile Implicit Representations of Deformable Objects,2022,ICRA,implicit; multi-modal; and continuous representation for deformable-elastic objects,other,Surface Reconstruction; Deformable Object Manipulation,1,0,2025-02-27
VLN-CE ,Beyond the Nav-Graph: Vision-and-Language Navigation in Continuous Environments,2020,ECCV,Vision and Language Navigation in Continuous Environments (VLN-CE) is an instruction-guided navigation task with crowdsourced instructions; realistic environments; and unconstrained agent navigation,indoor,Image Generation,49,1,2025-02-27
V-PCCD ,Point Cloud Change Detection With Stereo V-SLAM:Dataset; Metrics and Baseline,2022,RA-L,A simulated dataset built in Unreal Engine 4 with AirSim; Designed for visual point cloud change detection; Including GT point clouds before changes and after changes; Besides; 4 trajectories with stereo camera and IMU data are recorded for change detection task,other,Change Detection,1,0,2025-02-27
WADS ,DSOR: A Scalable Statistical Filter for Removing Falling Snow from LiDAR Point Clouds in Severe Winter Weather,2021,arXiv,multi-modal dataset featuring dense point-wise labeled sequential LiDAR scans collected in severe winter weather,outdoor,Object Detection; Autonomous Driving,8,0,2025-02-27
Washington RGB-D Scenes,A Large-Scale Hierarchical Multi-View RGB-D Object Dataset,2014,ICRA,The RGB-D Scenes Dataset contains 8 scenes with tabletop objects in kitchen and office environments,other,semantic scene understanding; scene labeling,0,0,2025-02-27
Washington RGB-D Scenes v2,Unsupervised feature learning for 3D scene labeling,2014,ICRA,Dataset consists of 14 scenes containing furniture and a subset of the objects in the original RGB-D Object Dataset ,other,semantic scene understanding; scene labeling,0,0,2025-02-27
WaterScenes,WaterScenes: A Multi-Task 4D Radar-Camera Fusion Dataset and Benchmarks for Autonomous Driving on Water Surfaces,2024,T-ITS,4D Radar-Camera Fusion Dataset for Autonomous Driving on Water Surfaces description of the dataset,outdoor,Object Detection; (2D) Semantic Segmentation; Instance Segmentation; Panoptic Segmentation; Line Segment Detection; Point Cloud Segmentation,10,2,2025-02-27
Waymo,Scalability in Perception for Autonomous Driving: Waymo Open Dataset,2020,CVPR, large-scale multimodal camera-LiDAR dataset,outdoor,(3D) Object Detection; 3D Human Post Estimation;M Multiple Object Tracking; Autonomous Driving; Video Object Detection; 3D Multi-Object Tracking,451,15,2025-02-27
WikiScenes,Towers of Babel: Combining Images; Language; and 3D Geometry for Learning Multimodal Vision,2021,ICCV,paired images and language descriptions capturing world landmarks and cultural sites; with associated 3D models and camera poses; derived from the massive public catalog of freely-licensed crowdsourced data in the Wikimedia Commons project,outdoor,Image Captioning,3,0,2025-02-27
Wild-Places,Wild-Places: A Large-Scale Dataset for Lidar Place Recognition in Unstructured Natural Environments,2023,ICRA,large-scale dataset for lidar place recognition in unstructured; natural environments,outdoor,3D Place Recognition; Sequential Place Recognition,12,0,2025-02-27
WOD-C,Robo3D: Towards Robust and Reliable 3D Perception against Corruptions,2023,ICCV,Waymo + simulated physically-principled corruptions on the val set; corruptions: 1) Severe weather conditions: fog; rain; snow -> back-scattering; attenuation; reflections; 2) External disturbances: bumpy surfaces; dust; insects... -> motion blur; LiDAR beam missing issues; 3) Internal sensor failure: incomplete echo; miss detection of instances with a dark color (e.g.; black car); crosstalk among multiple sensors -> deteriorates the 3D perception accuracy,outdoor,3D Object Detection; (Robust) 3D Semantic Segmentation,5,1,2025-02-27
WPC ,Perceptual Quality Assessment of Colored 3D Point Clouds,2021,TVCG,dataset for subjective and objective quality assessment of point clouds,other,Point Cloud Quality Assessment,27,1,2025-02-27
XA Bin-Picking,A Convolutional Neural Network for Point Cloud Instance Segmentation in Cluttered Scene Trained by Synthetic Data Without Color,2020,IEEE Access,point-cloud dataset comprising both simulated and real-world scenes with three industrial parts,other,3D Instance Segmentation,1,0,2025-02-27
XL-R2R,Cross-Lingual Vision-Language Navigation,2020,arXiv,built upon the R2R dataset and extends it with Chinese instructions,indoor,Zero-Shot Learning; Domain Adaption; Vision-Language Navigation,2,0,2025-02-27
Zind,Zillow Indoor Dataset: Annotated Floor Plans With 360deg Panoramas and 3D Room Layouts,2021,CVPR,The Zillow Indoor Dataset (ZInD) provides extensive visual data that covers a real world distribution of unfurnished residential homes. It consists of primary 360º panoramas with annotated room layouts; windows; doors and openings (W/D/O); merged rooms; secondary localized panoramas; and final 2D floor plans,indoor,Camera Localization; Visual Localization; Room Layout Estimation; Indoor Localization,17,0,2025-02-27
ZOD ,Zenseact Open Dataset: A large-scale and diverse multimodal dataset for autonomous driving,2023,ICCV,large-scale and diverse multi-modal autonomous driving (AD) dataset; created by researchers at Zenseact; It was collected over a 2-year period in 14 different European counties; using a fleet of vehicles equipped with a full sensor suite; The dataset consists of three subsets: Frames; Sequences; and Drives; designed to encompass both data diversity and support for spatiotemporal learning; sensor fusion; localization; and mapping; released under the permissive CC BY-SA 4.0 license; allowing for both commercial and non-commercial use,outdoor,spatiotemporal learning; sensor fusion: localization; mapping,7,0,2025-02-27
