Dataset,Paper Title,Year,Publisher,Paper Link,Project Link,Description,Size & Content,Indoor/Outdoor,Real/Synthetic,Modalities,No. Classes,Tasks,No. Papers,No. Benchmarks,Column1,checked?
MatSynth,MatSynth: A Modern PBR Materials Dataset,2024,CVPR,https://arxiv.org/pdf/2401.06056v3,https//gvecchio.com/matsynth/,Physically Based Rendering (PBR) materials dataset designed for modern AI applications,4;069 high-quality; 4K; tileable materials with permissive licences,other,,,,Image Generation; SVBRDF Estimation,3,0,,
Matterport3D,Matterport3D: Learning from RGB-D Data in Indoor Environments,2017,3DV,https://arxiv.org/pdf/1709.06158v1,https//niessner.hub.io/Matterport/,large RGB-D dataset for scene understanding in indoor environments,10;800 panoramic views inside 90 real building-scale scenes; constructed from 194;400 RGB-D images,indoor,real,RGB-D images; 3 RGB cameras; 3 depth cameras,40,Semantic Segmentation; Depth Estimation; Monocular Depth Estimation: NeWCRFs; Depth Completion; Depth Prediction,437,5,,c
MatterportLayout,Manhattan Room Layout Reconstruction from a Single 360 image: A Comparative Study of State-of-the-art Methods,2021,IJCV,https://arxiv.org/pdf/1910.04099v3,https//hub.com/ericsujw/Matterport3DLayoutAnnotation,MatterportLayout extends the Matterport3D dataset with general Manhattan layout annotations,2;295 RGBD panoramic images from Matterport3D; extended with ground truth 3D layouts,indoor,,,,Semantic Segmentation,5,0,,
Milan Cathedral (IT), A hierarchical machine learning approach for multi-level and multi-resolution 3D point cloud classification,2020, Remote Sens.,https://www.mdpi.com/2072-4292/12/16/2598/pdf,,heritage scenario; features a large amount of 3D points; a great diversity of geometries and styles; a richness in decoration and a lack in the regularity of the architectural elements,late Gothic Cathedral; very rich in decorations (3400 statues; 135 gargoyles and 700 figures that decorate the internal spaces; 135 spires and 30 decorative reverse arches on the external facades); 3D point cloud of the Milan Cathedral: more than 3 billion points; Terrestrial Laser Scanning (TLS) for the interior spaces; photogrammetry for the exteriors,outdoor,,,,point cloud classification,?,,,
MINOS,MINOS: Multimodal Indoor Simulator for Navigation in Complex Environments,2017,arXiv,https://arxiv.org/pdf/1712.03931v1,https//minosworld.hub.io,MINOS is a simulator designed to support the development of multisensory models for goal-directed navigation in complex indoor environments. MINOS leverages large datasets of complex 3D environments and supports flexible configuration of multimodal sensor suites.,the simulator provides immediate support for two datasets: a) the SUNCG dataset of synthetic furnished houses -> approximately 45;000 houses with more than 750K rooms of different types; b) the Matterport3D dataset of reconstructed real buildings-> 90 multi-floor residences with approximately 2;000 annotated room regions,indoor,,,,Object Detection; Visual Navigation; Vision and Language Navigation,22,0,,
MM-Vet,MM-Vet: Evaluating Large Multimodal Models for Integrated Capabilities,2023,arXiv,https://arxiv.org/pdf/2308.02490v3,https//hub.com/yuweihao/MM-Vet,evaluation benchmark that examines large multimodal models (LMMs) on complicated multimodal tasks,200 images; and 218 questions (samples); all paired with their respective ground truths,other,real,,,Visual Question Answering (VQA),160,1,,
MMBench,,2024,ECCV,https://arxiv.org/pdf/2307.06281v5,https//opencompass.org.cn/mmbench,multi-modality benchmark / objective benchmark for a robust and holistic evaluation of vision-language models,over 3;000 multiple-choice questions covering 20 ability dimensions,,,,,Visual Question Answering (VQA),176,1,,
ModelNet / ModelNet40,3D ShapeNets: A Deep Representation for Volumetric Shapes,2015,CVPR,https://arxiv.org/pdf/1406.5670v3,https//modelnet.cs.princeton.edu,dataset contains synthetic object point clouds; large-scale object dataset of 3D computer graphics CAD models; they compiled a list of the most common object categories in the world; using the statistics obtained from the SUN database,151;128 3D CAD models belonging to 660 unique object categories -> ModelNet40: 40 common object categories from ModelNet with 100 unique CAD models per category (used to train the model from the paper),indoor,synthetic,,660,(Few-Shot / Zero-Shot) 3D Point Cloud Classification; 3D Object Classification; 3D Object Recognition; 3D Point Cloud Data Augmentation; 3D Object Retrieval; 3D Point Cloud Linear Classification; Generative 3D Object Classification…,1300,18,,
ModelNet40-C,Benchmarking Robustness of 3D Point Cloud Recognition Against Common Corruptions,2022,ICLR,https://arxiv.org/pdf/2201.12296v1,https//sites.google.com/umich.edu/modelnet40c,comprehensive dataset to benchmark the corruption robustness of 3D point cloud recognition -> ModelNet40 + corruption,based on the ModelNet40 validation set with 15 corruption types and 5 severity levels for each corruption type including density; noise; and transformation corruption patterns; 185;000 distinct point clouds ,indoor,synthetic,3D CAD models from CAD model websites,40,3D Point Cloud Classification; 3D Classification; 3D Point Cloud Data Augmentation;  Few-Shot Point Cloud Classification; Robust Classification; Classify 3D Point Clouds,29,0,,
Mono3DRefer,Mono3DVG: 3D Visual Grounding in Monocular Images,2023,AAAI,https://arxiv.org/pdf/2312.08022v1,https//hub.com/ZhanYang-nwpu/Mono3DVG,3D visual grounding in monocular RGB images using descriptions with appearance and geometry information,2025 frames of images from the original KITTI; 41;140 expressions in total and a vocabulary of 5;271 words,outdoor,,,,(Monocular) 3D Object Detection; (3D) Visual Grounding; Mono3DVG,2,1,,
MS2 / Multi-Spectral Stereo Dataset,Deep Depth Estimation From Thermal Image,2023,CVPR,https://openaccess.thecvf.com/content/CVPR2023/papers/Shin_Deep_Depth_Estimation_From_Thermal_Image_CVPR_2023_paper.pdf,https//sites.google.com/view/multi-spectral-stereo-dataset,multi-spectral stereo (MS2) outdoor dataset; including stereo RGB; stereo NIR; stereo thermal; stereo LiDAR data; and GPS/IMU information,26K data pairs for training; 4K pairs for validation; and 5.8K; 6.8K; and 5.2K pairs for evaluation of daytime; nighttime; and rainy conditions,outdoor,,,,Depth Estimation; Visual Odometry; Depth Completion; Thermal Image Segmentation; Stereo Depth Estimation; Depth Prediction,0,0,,
MS COCO (Microsoft Common Objects in Context),Microsoft COCO: Common Objects in Context,2014,ECCV,https://arxiv.org/pdf/1405.0312v3,https//cocodataset.org/#home,large-scale object detection; segmentation; key-point detection; and captioning dataset. The dataset consists of 328K images,328K images (>200K labeled); 1.5 million object instances; 80 object categories; 91 stuff categories; 5 captions per image; 250;000 people with keypoints,,,,,Object Detection; Semantic Segmentation; Question Answering; Post Estimation; Visual Question Answering (VQA); Instance Segmentation; Image Retrieval; Image Captioning; Multi-Label Classification; Obejct Localization; Panoptic Segmentation…,10837,96,,
Multi30K,Multi30K: Multilingual English-German Image Description s,2016,Proceedings of the 5th Workshop on Vision and Language,https://arxiv.org/pdf/1605.00459v1,https//hub.com/multi30k/dataset,large-scale multilingual multimodal dataset for interdisciplinary machine learning research; extends the Flickr30K dataset with German translations created by professional translators over a subset of the English descriptions,Flickr30K + German Translations,mixed,real,,,Translation deu-eng; Translation eng-deu; Real-Time Instance Segmenation; Multimodal Machine Translation,129,10,,
Multifog KITTI,3D Object Detection with SLS-Fusion Network in Foggy Weather Conditions,2021,Sensors ,https://www.mdpi.com/1424-8220/21/20/6711,https//maiminh1996.hub.io/about/multifogkitti/,Augmented KITTI dataset with fog for both camera and LiDAR sensors with different visibility ranges from 20 to 80 meters to best match realistic fog environment,KITTI + fog,outdoor,synthetic,,,3D Object Detection; Autonomous Driving,0,0,,
MultiScan,MultiScan: Scalable RGBD scanning for 3D environments with articulated objects,2022,NeurIPS,https://openreview.net/pdf?id=YxUdazpgweG,https//3dlg-hcvc.hub.io/multiscan/#/,calable RGBD dataset construction pipeline leveraging commodity mobile devices to scan indoor scenes with articulated objects and web-based semantic annotation interfaces to efficiently annotate object and part semantics and part mobility parameters,273 scans of 117 indoor scenes containing 10957 objects and 5129 parts,indoor,,,,3D Object Detection; 3D Instance Segmentation,3,1,,
MUSES (MUlti-SEnsor Semantic perception dataset),MUSES: The Multi-Sensor Semantic Perception Dataset for Driving under Uncertainty,2024,arXiv,https://arxiv.org/pdf/2401.12761v3,https//muses.vision.ee.ethz.ch,multi-modal scenes; evenly distributed across various combinations of weather conditions (clear; fog; rain; and snow) and types of illumination (daytime; nighttime),2500 annotated multimodal samples; 500 of which are recorded in daytime and clear weather; The remaining 2000 adverse-condition samples are split between 1000 daytime (333/334/333 samples in fog/rain/snow) and 1000 nighttime (250/250/250/250 samples in clear/fog/rain/snow) samples,outdoor,,,,(2D) Object Detection; (2D) Semantic Segmentation; (2D) Panoptic Segmentation,1,0,,
MVP (Multi-View Partial point cloud),Variational Relational Point Completion Network,2021,CVPR,https://arxiv.org/pdf/2104.10154v1,https//paul007pl.hub.io/projects/VRCNet,multi-view partial point cloud dataset (MVP) ,over 100;000 high-quality scans; which renders partial 3D shapes from 26 uniformly distributed camera poses for each 3D CAD model; MVP dataset consists of a large number of high-quality synthetic partial scans for 3D CAD models; which imitates real-scanned incomplete point clouds caused by self-occlusion,mixed,synthetic,,,Point Cloud Completion,28,0,,
MVTecAD,MVTec AD — A Comprehensive Real-World Dataset for Unsupervised Anomaly Detection,2019,CVPR,https://openaccess.thecvf.com/content_CVPR_2019/papers/Bergmann_MVTec_AD_--_A_Comprehensive_Real-World_Dataset_for_Unsupervised_Anomaly_CVPR_2019_paper.pdf,https//www.mvtec.com/company/research/datasets/mvtec-ad/,dataset for benchmarking anomaly detection methods with a focus on industrial inspection,5354 high-resolution color images of different object and texture categories;  anomalies manifest themselves in the form of over 70 different types of defects such as scratches; dents; contaminations; and various structural changes,may be interesting in specific (industrial) applications (but 2D); real-world deformations,real,,,Image Classification; Object Detection; (Unsupervised / Supervised) Anomaly Detection; Outlier Detection,327,3,,
MVTEC 3D-AD (3D Anomaly Detection),The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,2021,VISAPP,https://arxiv.org/pdf/2112.09045v1,https//www.mvtec.com/company/research/datasets/mvtec-3d-ad,comprehensive 3D dataset for the task of unsupervised anomaly detection and localization,over 4000 high-resolution scans acquired by an industrial 3D sensor; Each of the 10 different object categories comprises a set of defect-free training and validation samples and a test set of samples with various kinds of defects; Precise ground-truth annotations are provided for each anomalous test sample,indoor,,,,Anomaly Detection; (RGB+) 3D Anomaly Detection and Segmentation; Depth Anomaly Detection and Segmentation,31,4,,
MVTec D2S (MVTec Densely Segmented Supermarket),MVTec D2S: Densely Segmented Supermarket Dataset,2018,ECCV,https://arxiv.org/pdf/1804.08292v2,https//www.mvtec.com/company/research/datasets/mvtec-d2s,benchmark for instance-aware semantic segmentation in an industrial domain,21;000 high-resolution images with pixel-wise labels of all object instances; The objects comprise groceries and everyday products from 60 categories,indoor,,,,Semantic Segmentation; Instance Segmentation; Data Augmentation ,2,0,,
NavigationNet,NavigationNet: A Large-scale Interactive Indoor Navigation Dataset,2018,arXiv,https://arxiv.org/pdf/1808.08374v1,https//mvig.sjtu.edu.cn/research/nav/NavigationNet.html,computer vision dataset and benchmark to allow the utilization of deep reinforcement learning on scene-understanding-based indoor navigation,hierarchical organization (root > scenes > rooms);  15 scenes; each with 1-3 rooms; The origin room for each scene is at least 50 m2 in area,indoor,,,,Scene Understanding,1,0,,
NCLT (North Campus Long-Term),University of Michigan North Campus long-term vision and lidar dataset,2015,IJRR,https://journals.sagepub.com/doi/10.1177/0278364915614638,https//robots.engin.umich.edu/nclt/,large scale; long-term autonomy dataset for robotics research collected on the University of Michigan’s North Campus; dataset consists of omnidirectional imagery; 3D lidar; planar lidar; GPS; and proprioceptive sensors for odometry collected using a Segway robot,dataset is comprised of 27 sessions spaced approximately biweekly over the course of 15 months,outdoor,,,,Pose Estimation; Visual Place Recognition; Visual Localization,105,0,,
NERDS 360 (NeRF for Reconstruction Decomposition and Scene Synthesis of 360° outdoor scenes),NeO 360: Neural Fields for Sparse View Synthesis of Outdoor Scenes,2023,ICCV,https://arxiv.org/pdf/2308.12967v1,https//hub.com/zubair-irshad/NeO-360#-dataset,large-scale dataset for 3D urban scene understanding,75 outdoor urban scenes with diverse backgrounds; encompassing over 15;000 images; These scenes offer 360? hemispherical views; capturing diverse foreground objects illuminated under various lighting conditions,outdoor,,,,Semantic Segmentation; Instance Segmentation; Depth Etimation; Novel View Synthesis; 6D Pose Estimation; Generalizable Novel View Synthesis,4,1,,
New College,The New College Vision and Laser Data Set,2009,IJRR,https://journals.sagepub.com/doi/pdf/10.1177/0278364909103911,https//www.robots.ox.ac.uk/~mobile/MOOS/wiki/pmwiki.php,freely available dataset collected from a robot completing several loops outdoors around the New College campus in Oxford; odometry; laser scan; and visual information,data was gathered over a 2.2 km traverse of the college grounds,outdoor,,,,Visual Odometry; Loop Closure Detection; Simultaneous Localization and Mapping,16,0,,
Newer College,The Newer College Dataset: Handheld LiDAR; Inertial and Vision with Ground Truth,2020,IROS,https://arxiv.org/pdf/2003.05691v2,https//ori-drs.hub.io/newer-college-dataset/,dataset with a variety of mobile mapping sensors collected using a handheld device carried at typical walking speeds for nearly 2.2 km through New College; Oxford,nearly 2.2 km; data from two commercially available devices - a stereoscopic-inertial camera and a multi-beam 3D LiDAR; which also provides inertial measurements + tripod-mounted survey grade LiDAR scanner to capture a detailed millimeter-accurate 3D map of the test location (containing ?290 million points),outdoor,,,,Vision-based Navigation; Visual and LiDAR SLAM; 3D LiDAR Reconstruction; Appearance-based Place Recognition,1,0,,
NL-Drive (Nonlinear Autonomous Driving Dataset),NeuralPCI: Spatio-temporal Neural Field for 3D Point Cloud Multi-frame Non-linear Interpolation,2023,CVPR,https://arxiv.org/pdf/2303.15126v1,https//hub.com/ispc-lab/NeuralPCI,multi-frame interpolation dataset for autonomous driving scenarios; dataset contains point cloud sequences with large nonlinear movements from three public large-scale autonomous driving datasets: KITTI; Argoverse and Nuscenes,Based on KITTI; Argoverse and Nuscenes; more than 20;000 LiDAR point cloud frames; training; validation and test split in the ratio of 14:3:3,outdoor,,,,3D Point Cloud Interpolation,2,1,,
NoCaps,nocaps: novel object captioning at scale,2019,ICCV,https://arxiv.org/pdf/1812.08658v3,https//nocaps.org,nocaps =  novel object captioning at scale; To encourage the development of image captioning models that can learn visual concepts from alternative data sources; such as object detection datasets; we present the first large-scale benchmark for this task,166;100 human-generated captions describing 15;100 images from the Open Images validation and test sets; The associated training data consists of COCO image-caption pairs; plus Open Images imagelevel labels and object bounding boxes; Since Open Images contains many more classes than COCO; nearly 400 object classes seen in test images have no or very few associated training captions (hence; nocaps),indoor,,,,Object Detection; Image Captioning,152,13,,
nuScenes,nuScenes: A multimodal dataset for autonomous driving,2020,CVPR,https://arxiv.org/pdf/1903.11027v5,https//www.nuscenes.org,large-scale autonomous driving dataset,3D bounding boxes for 1000 scenes collected in Boston and Singapore; Each scene is 20 seconds long and annotated at 2Hz; Total of 28130 samples for training; 6019 samples for validation and 6008 samples for testing; Full autonomous vehicle data suite: 32-beam LiDAR; 6 cameras and radars with complete 360° coverage; 3D object detection challenge evaluates the performance on 10 classes: cars; trucks; buses; trailers; construction vehicles; pedestrians; motorcycles; bicycles; traffic cones and barriers,outdoor,real,6 cameras; 1 LIDAR; 5 RADAR; GPS; IMU,23,(3D) Object Detection; Instance Segmentation; (3D) Semantic Segmentation; Trajectory Prediction; 3D Multi-Obejct Tracking; Weather Forecasting; Trajectory Planing; Motion Detection; …,1951,22,,c
nuScenes-C,Robo3D: Towards Robust and Reliable 3D Perception against Corruptions,2023,ICCV,https://arxiv.org/pdf/2303.17597v4,https//ldkong.com/Robo3D,nuScenes + simulated physically-principled corruptions on the val set; corruptions: 1) Severe weather conditions: fog; rain; snow -> back-scattering; attenuation; reflections; 2) External disturbances: bumpy surfaces; dust; insects... -> motion blur; LiDAR beam missing issues; 3) Internal sensor failure: incomplete echo; miss detection of instances with a dark color (e.g.; black car); crosstalk among multiple sensors -> deteriorates the 3D perception accuracy,nuScenes + corruption,outdoor,synthetic,,,(Robust) 3D Object Detection; (Robust) 3D Semantic Segmentation; Robust Camera Only 3D Object Detection,27,3,,
NYUv2 (NYU-Depth V2),Indoor Segmentation and Support Inference from RGBD Images,2012,ECCV,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/11/shkf_eccv2012.pdf,http//cs.nyu.edu/~silberman/datasets/nyu_depth_v2.html,The NYU-Depth V2 data set is comprised of video sequences from a variety of indoor scenes as recorded by both the RGB and Depth cameras from the Microsoft Kinect,1449 RGB-D images; 464 indoor scenes; 26 scene classes; 35064 objects; 894 object classes; Each object is labeled with a class and an instance number (cup1; cup2; cup3; etc); dataset has several components: Labeled (subset of the video data + dense multi-class labels); Raw (raw RGB; depth; and accelerometer data as provided by the Kinect); Toolbox: functions for manipulating the data and labels,indoor,real,Kinect (RGB-D),894,Semantic Segmentation; Instance Segmentation; 3D Object Detection; Depth Estimation; Panoptic Segmentation; Scene Segmentation; Multi-Task Learning; Depth Completion; Surface Normals Estimation; 3D Semantic Scne Completion; …,948,20,,c
OASIS (Open Annotations of Single Image Surfaces),OASIS: A Large-Scale Dataset for Single Image 3D in the Wild,2020,CVPR,https://arxiv.org/pdf/2007.13215v1,https//oasis.cs.princeton.edu,dataset for single-image 3D in the wild,annotations of detailed 3D geometry for 140000 images,mixed,,,,Depth Estimation; Medical Image Classification; Medical Image Registration,24,2,,
Objaverse,Objaverse: A Universe of Annotated 3D Objects,2023,CVPR,https://arxiv.org/pdf/2212.08051v1,https//objaverse.allenai.org,large dataset of objects with 800K+ (and growing) 3D models with descriptive captions; tags; and animations,818K high-quality; diverse; 3D models with paired text descriptions; titles; and tags,mixed,synthetic,objects sourced from Sketchfab,18,Zero-Shot 3D Classification; Generative 3D Object Classification; 3D Object Captioning,316,3,,c
Objaverse-XL,Objaverse-XL: A Universe of 10M+ 3D Objects,2023,NeurIPS,https://arxiv.org/pdf/2307.05663v1,https//objaverse.allenai.org,extensive dataset containing over 10 million 3D objects (12x larger than Objaverse),over 10 million 3D objects,mixed,,,,Zero-Shot 3D Classification; Generative 3D Object Classification; 3D Object Captioning,19,0,,
ObjectFolder,OBJECTFOLDER: A Dataset of Objects with Implicit Visual; Auditory; and Tactile Representations,2021,CoRL,https://arxiv.org/pdf/2109.07991v3,https//ai.stanford.edu/~rhgao/objectfolder/,dataset for multisensory object-centric perception; reasoning; and interaction,100 virtualized objects; ObjectFolder encodes the visual; auditory; and tactile sensory data for all objects; enabling a number of multisensory object recognition tasks.,indoor,,,,Instance recognition; cross-sensory retrieval; 3D reconstruction; robotic grasping,3,0,,
ObjectNet3D,ObjectNet3D: A Large Scale Database for 3D Object Recognition,2016,ECCV,https://cvgl.stanford.edu/papers/xiang_eccv16.pdf,https//cvgl.stanford.edu/projects/objectnet3d/,large scale database for 3D object recognition,100 categories; 90127 images; 201;888 objects in these images and 44;147 3D shapes,indoor,,,,Region Proposal Generation; 2D Object Detection; Joint 2D Detection and 3D Object Pose Estimation; Image-Based 3D Shape Retrieval,2,0,,
OccludedPASCAL3D+,Robust Object Detection under Occlusion with Context-Aware CompositionalNets,2020,CVPR,https://arxiv.org/pdf/2005.11643v2,https//hub.com/Angtian/OccludedPASCAL3D,dataset is designed to evaluate the robustness to occlusion for a number of computer vision tasks; such as object detection; keypoint detection and pose estimation,partial occlusion is simulated by superimposing objects cropped from the MS-COCO dataset on top of objects from the PASCAL3D+ dataset; they use the ImageNet subset in PASCAL3D+; which has 10812 testing images,outdoor,synthetic,,,Object Detection; Keypoint Detection; Pose Estimation,7,0,,
OCTScenes,OCTScenes: A Versatile Real-World Dataset of Tabletop Scenes for Object-Centric Learning,2023,arXiv,https://arxiv.org/pdf/2306.09682v3,https//huggingface.co/datasets/Yinxuan/OCTScenes,They propose a versatile real-world dataset of tabletop scenes for object-centric learning; which is meticulously designed to serve as a benchmark for comparing; evaluating; and analyzing object-centric learning methods,5000 tabletop scenes with a total of 15 everyday objects; Each scene is captured in 60 frames covering a 360-degree perspective; a) OCTScenes-A: 0--3099 scenes without segmentation annotation for training; 3100--3199 scenes with annotation for testing; b) OCTScenes-B: 0--4899 scenes without annotation for training; 4900--4999 scenes with annotation for testing,indoor,,,,Object-Centric Learning,1,0,,
OK-VQA (Outside Knowledge Visual Question Answering),OK-VQA: A Visual Question Answering Benchmark Requiring External Knowledge,2019,CVPR,https://arxiv.org/pdf/1906.00067v2,https//okvqa.allenai.org,dataset for visual question answering that requires methods which can draw upon outside knowledge to answer questions,14;055 open-ended questions; 5 ground truth answers per question,NLP (expert knowledge),,,,Question Answering; Visual Question Answering (VQA); Retrieval; Question Generation,302,2,,
OMMO,A Large-Scale Outdoor Multi-modal Dataset and Benchmark for Novel View Synthesis and Implicit Scene Reconstruction,2023,ICCV,https://arxiv.org/pdf/2301.06782v1,https//ommo.luchongshan.com,benchmark for several outdoor NeRF-based tasks; such as novel view synthesis; surface reconstruction; and multi-modal NeRF; contains complex objects and scenes with calibrated images; point clouds and prompt annotations,33 real-world scenes with more than 14K posed images and text description,outdoor,,,,Novel View Synthesis; Surface Reconstruction,6,0,,
OmniObject3D,OmniObject3D: Large-Vocabulary 3D Object Dataset for Realistic Perception; Reconstruction and Generation,2023,CVPR,https://arxiv.org/pdf/2301.07525v2,https//omniobject3d.hub.io,large vocabulary 3D object dataset with massive high-quality real-scanned 3D objects,6000 scanned objects in 190 daily categories; sharing common classes with popular 2D datasets (e.g.; ImageNet and LVIS),indoor,,,,Novel View Synthesis; Zero-shot 3D Point Cloud Classification; Surface Reconstruction; Zero-shot 3D Classification; 3D Geometry Perception,45,2,,
ONCE (One millioN sCenEs),One Million Scenes for Autonomous Driving: ONCE Dataset,2021,NeurIPS,https://arxiv.org/pdf/2106.11037,Datahttp//www.once-for-auto-driving.com,dataset for 3D object detection in the autonomous driving scenario,1 Million LiDAR frames; 7 Million camera images; 200 km² driving regions; 144 driving hours (20x longer than other 3D autonomous driving datasets available like nuScenes and Waymo); 15k fully annotated scenes with 5 classes (Car; Bus; Truck; Pedestrian; Cyclist); Diverse environments (day/night; sunny/rainy; urban/suburban areas),outdoor,,,,3D Object Detection,76,1,,
OPD (Articulated Object Dataset),OPD: Single-view 3D Openable Part Detection,2022,ECCV ,https://arxiv.org/pdf/2203.16421v1,https//3dlg-hcvc.hub.io/OPD/,predicting what parts of an object can open and how they move when they do so; A) OPDSynth: they selected objects with openable parts from an existing dataset of articulated 3D models PartNet-Mobility; B) OPDReal: they  reconstructed 3D polygonal meshes for articulated objects in real indoor environments and annotate their parts and articulation information,A) OPDSynth: 683 objects with 1343 parts over 11 categories (from PartNet-Mobility); B) OPDReal: 763 polygonal meshes for 284 different objects across 8 object categories (they took 863 RGB-D video scans of indoor environments with articulated objects using iPad Pro 2021 devices,indoor,,,,Openable Part Detection; Instance Segmentation,1,0,,
OpenTrench3D,OpenTrench3D: A Photogrammetric 3D Point Cloud Dataset for Semantic Segmentation of Underground Utilities,2024,CVPR,https://arxiv.org/abs/2404.07711,https//hub.com/SimonBuusJensen/OpenTrench3D,publicly available point cloud dataset of underground utilities from open trenches,310 point clouds collected across 7 distinct areas (5 water utility areas and 2 district heating utility areas),outdoor,,,,3D Semantic Segmentation,3,1,,
OPV2V,OPV2V: An Open Benchmark Dataset and Fusion Pipeline for Perception with Vehicle-to-Vehicle Communication,2022,ICRA,https://arxiv.org/pdf/2109.07644v5,https//mobility-lab.seas.ucla.edu/opv2v/,large-scale open simulated dataset for Vehicle-to-Vehicle perception,over 70 interesting scenes; 11464 frames; and 232913 annotated 3D vehicle bounding boxes; collected from 8 towns in CARLA and a digital town of Culver City; Los Angeles,outdoor,synthetic,,,(Monocular) 3D Object Detection,64,2,,
OVDEval (Open-Vocabulary Detection),How to Evaluate the Generalization of Detection? A Benchmark for Comprehensive Open-Vocabulary Detection,2023,AAAI,https://arxiv.org/pdf/2308.13177v2,https//hub.com/om-ai-lab/OVDEval,benchmark -> evaluations on commonsense knowledge; attribute understanding; position understanding; object relation comprehension; and more,9 large datasets that cover 6 linguistic aspects: object; proper noun; attribute; position; relationship; and negation,mixed,,,,Open-Vocabulary Detection (Object; Proper Noun; Attribute; Position; Relationship; Negation),1,2,,
P2S (Points2Surf),Points2Surf Learning Implicit Surfaces from Point Clouds,2020,ECCV,https://arxiv.org/pdf/2007.10453v2,https//www.cg.tuwien.ac.at/research/publications/2020/erler-2020-p2s/,method that turns point clouds into meshes; consists of objects from the ABC Dataset; a collection of Famous meshes and objects from Thingi10k,training set consists of 4950 ABC objects with varying number of scans and noise strength; 100 meshes for the validation and test sets,other,,,,Surface Reconstruction,4,0,,
PackIt,PackIt: A Virtual Environment for Geometric Planning,2020,ICML,https://arxiv.org/pdf/2007.11121v1,https//hub.com/princeton-vl/PackIt,virtual environment to evaluate and potentially learn the ability to do geometric planning; where an agent needs to take a sequence of actions to pack a set of objects into a box with limited space,shapes come from ShapeNet -> they created three smaller (mutually-exclusive) subsets -> sets of 4207; 4196 and 4185 shapes for training; testing and validation,,,,, General Reinforcement Learning; Robot Task Planning; Decision Making,3,1,,
PACO (Parts and Attributes of Common Objects),PACO: Parts and Attributes of Common Objects,2023,CVPR,https://arxiv.org/pdf/2301.01795v1,https//hub.com/facebookresearch/paco,detection dataset that goes beyond traditional object boxes and masks and provides richer annotations such as part masks and attributes,75 object categories; 456 object-part categories and 55 attributes across image (LVIS) and video (Ego4D) datasets; 641K part masks annotated across 260K object boxes; with half of them exhaustively annotated with attributes as well,,,,,2D Object Detection,20,0,,
PandaSet,PandaSet: Advanced Sensor Suite Dataset for Autonomous Driving,2021,ITSC,https://arxiv.org/pdf/2112.12610v1,https//scale.com/open-av-datasets/pandaset,dataset produced by a complete; high-precision autonomous vehicle sensor kit with a no-cost commercial license; dataset was collected using one 360x360 mechanical spinning LiDAR; one forward-facing; long-range LiDRAR; and 6 cameras,more than 100 scenes; each of which is 8 seconds long; and provides 28 types of labels for object classification and 37 types of annotations for semantic segmentation,outdoor,,,,3D Object Detection; Autonomous Driving,43,0,,
Pano3D,Pano3D: A Holistic Benchmark and a Solid Baseline for 360o Depth Estimation,2021,CVPRW,https://arxiv.org/pdf/2109.02749v1,https//vcl3d.hub.io/Pano3D/,benchmark for depth estimation from spherical panoramas,7170/1527 train/test Matterport3D samples; and 2740; 6999; 3284; 21203 GibsonV2 tiny; medium; fullplus; and full split samples ,indoor,,,,Domain Adaption; Depth Estimation; Out-of-Distribution Detection; 3D Reconstruction; Surface Normals Estimation; 3D Depth Estimation; Zero-Shot Learning+Domain Generalization; Zero-Shot Out-of-Domain Detection,2,0,,
PanoContext,PanoContext: A Whole-Room 3D Context Model for Panoramic Scene Understanding,2014,ECCV,https://panocontext.cs.princeton.edu/paper.pdf,https//panocontext.cs.princeton.edu,A Whole-Room 3D Context Model for Panoramic Scene Understanding,We collected 700 full-view panoramas for home environments from SUN360 database; including 418 bedrooms and 282 living rooms. We split our dataset into two halves for training and testing respectively.,indoor,,,,3D Room Layouts From A Single RGB Panorama,41,1,,
Panoptic nuScenes,Panoptic nuScenes: A Large-Scale Benchmark for LiDAR Panoptic Segmentation and Tracking,2021,RA-L,https://arxiv.org/pdf/2109.03805v3,https//www.nuscenes.org/panoptic?externalData=all&mapData=all&modalities=Any,benchmark dataset that extends the popular nuScenes dataset with point-wise groundtruth annotations for semantic segmentation; panoptic segmentation; and panoptic tracking tasks,extension of the nuScenes dataset which contains 1000 scenes collected across multiple cities; 32 semantic classes; with 23 thing and 9 stuff classes; 1.1B LiDAR points annotated with one of 32 semantic labels,outdoor,,,,Panoptic Segmentation,5,0,,
PARIS,PARIS: Part-level Reconstruction and Motion Analysis for Articulated Objects,2023,ICCV,https://arxiv.org/pdf/2308.07391v1,https//3dlg-hcvc.hub.io/paris/,PARIS = PArt-level Reconstruction and motion analysIS for articulated objects; Synthetic dataset,models from the PartNet-Mobility dataset; they selected 10 / 46 categories; For each articulation state; they randomly sampled 64-100 views covering the upper hemisphere of the object to simulate capturing in the real world,indoor,synthetic,,,3D Shape Modeling,2,0,,
